invoice_id,branch,city,customer_type,gender_customer,product_line,unit_cost,quantity,5pct_markup,revenue,date,time,payment_method,cogs,gm_pct,gross_income,rating
750-67-8428,A,Yangon,Membro,Feminino,Saúde e beleza,74.69,7,26.1415,548.9715,01/05/19,13:08,Cartão de débito,522.83,4.761904762,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Feminino,Acessórios eletrônicos,15.28,5,3.82,80.22,03/08/19,10:29,Dinheiro,76.4,4.761904762,3.82,9.6
631-41-3108,A,Yangon,Normal,Masculino,Casa e estilo de vida,46.33,7,16.2155,340.5255,03/03/19,13:23,Cartão de crédito,324.31,4.761904762,16.2155,7.4
123-19-1176,A,Yangon,Membro,Masculino,Saúde e beleza,58.22,8,23288,489048,1/27/2019,20:33,Cartão de débito,465.76,4.761904762,23288,8.4
373-73-7910,A,Yangon,Normal,Masculino,Esportes e viagem,86.31,7,30.2085,634.3785,02/08/19,10:37,Cartão de débito,604.17,4.761904762,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Masculino,Acessórios eletrônicos,85.39,7,29.8865,627.6165,3/25/2019,18:30,Cartão de débito,597.73,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Membro,Feminino,Acessórios eletrônicos,68.84,6,20652,433692,2/25/2019,14:36,Cartão de débito,413.04,4.761904762,20652,5.8
315-22-5665,C,Naypyitaw,Normal,Feminino,Casa e estilo de vida,73.56,10,36.78,772.38,2/24/2019,11:38,Cartão de débito,735.6,4.761904762,36.78,8
665-32-9167,A,Yangon,Membro,Feminino,Saúde e beleza,36.26,2,3626,76146,01/10/19,17:15,Cartão de crédito,72.52,4.761904762,3626,7.2
692-92-5582,B,Mandalay,Membro,Feminino,Comida e bebidas,54.84,3,8226,172746,2/20/2019,13:27,Cartão de crédito,164.52,4.761904762,8226,5.9
351-62-0822,B,Mandalay,Membro,Feminino,Acessórios de moda,14.48,4,2896,60816,02/06/19,18:07,Cartão de débito,57.92,4.761904762,2896,4.5
529-56-3974,B,Mandalay,Membro,Masculino,Acessórios eletrônicos,25.51,4,5102,107142,03/09/19,17:03,Dinheiro,102.04,4.761904762,5102,6.8
365-64-0515,A,Yangon,Normal,Feminino,Acessórios eletrônicos,46.95,5,11.7375,246.4875,02/12/19,10:25,Cartão de débito,234.75,4.761904762,11.7375,7.1
252-56-2699,A,Yangon,Normal,Masculino,Comida e bebidas,43.19,10,21595,453495,02/07/19,16:48,Cartão de débito,431.9,4.761904762,21595,8.2
829-34-3910,A,Yangon,Normal,Feminino,Saúde e beleza,71.38,10,35.69,749.49,3/29/2019,19:21,Dinheiro,713.8,4.761904762,35.69,5.7
299-46-1805,B,Mandalay,Membro,Feminino,Esportes e viagem,93.72,6,28116,590436,1/15/2019,16:19,Dinheiro,562.32,4.761904762,28116,4.5
656-95-9349,A,Yangon,Membro,Feminino,Saúde e beleza,68.93,7,24.1255,506.6355,03/11/19,11:03,Cartão de crédito,482.51,4.761904762,24.1255,4.6
765-26-6951,A,Yangon,Normal,Masculino,Esportes e viagem,72.61,6,21783,457443,01/01/19,10:39,Cartão de crédito,435.66,4.761904762,21783,6.9
329-62-1586,A,Yangon,Normal,Masculino,Comida e bebidas,54.67,3,8.2005,172.2105,1/21/2019,18:00,Cartão de crédito,164.01,4.761904762,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Feminino,Casa e estilo de vida,40.3,2,4.03,84.63,03/11/19,15:30,Cartão de débito,80.6,4.761904762,4.03,4.4
300-71-4605,C,Naypyitaw,Membro,Masculino,Acessórios eletrônicos,86.04,5,21.51,451.71,2/25/2019,11:24,Cartão de débito,430.2,4.761904762,21.51,4.8
371-85-5789,B,Mandalay,Normal,Masculino,Saúde e beleza,87.98,3,13197,277137,03/05/19,10:40,Cartão de débito,263.94,4.761904762,13197,5.1
273-16-6619,B,Mandalay,Normal,Masculino,Casa e estilo de vida,33.2,2,3.32,69.72,3/15/2019,12:20,Cartão de crédito,66.4,4.761904762,3.32,4.4
636-48-8204,A,Yangon,Normal,Masculino,Acessórios eletrônicos,34.56,5,8.64,181.44,2/17/2019,11:15,Cartão de débito,172.8,4.761904762,8.64,9.9
549-59-1358,A,Yangon,Membro,Masculino,Esportes e viagem,88.63,3,13.2945,279.1845,03/02/19,17:36,Cartão de débito,265.89,4.761904762,13.2945,6
227-03-5010,A,Yangon,Membro,Feminino,Casa e estilo de vida,52.59,8,21036,441756,3/22/2019,19:20,Cartão de crédito,420.72,4.761904762,21036,8.5
649-29-6775,B,Mandalay,Normal,Masculino,Acessórios de moda,33.52,1,1676,35196,02/08/19,15:31,Dinheiro,33.52,4.761904762,1676,6.7
189-17-4241,A,Yangon,Normal,Feminino,Acessórios de moda,87.67,2,8767,184107,03/10/19,12:17,Cartão de crédito,175.34,4.761904762,8767,7.7
145-94-9061,B,Mandalay,Normal,Feminino,Comida e bebidas,88.36,5,22.09,463.89,1/25/2019,19:48,Dinheiro,441.8,4.761904762,22.09,9.6
848-62-7243,A,Yangon,Normal,Masculino,Saúde e beleza,24.89,9,11.2005,235.2105,3/15/2019,15:36,Dinheiro,224.01,4.761904762,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Masculino,Acessórios de moda,94.13,5,23.5325,494.1825,2/25/2019,19:39,Cartão de crédito,470.65,4.761904762,23.5325,4.8
149-71-6266,B,Mandalay,Membro,Masculino,Esportes e viagem,78.07,9,35.1315,737.7615,1/28/2019,12:43,Dinheiro,702.63,4.761904762,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Masculino,Esportes e viagem,83.78,8,33512,703752,01/10/19,14:49,Dinheiro,670.24,4.761904762,33512,5.1
595-11-5460,A,Yangon,Normal,Masculino,Saúde e beleza,96.58,2,9658,202818,3/15/2019,10:12,Cartão de crédito,193.16,4.761904762,9658,5.1
183-56-6882,C,Naypyitaw,Membro,Feminino,Comida e bebidas,99.42,4,19884,417564,02/06/19,10:42,Cartão de débito,397.68,4.761904762,19884,7.5
232-16-2483,C,Naypyitaw,Membro,Feminino,Esportes e viagem,68.12,1,3406,71526,01/07/19,12:28,Cartão de débito,68.12,4.761904762,3406,6.8
129-29-8530,A,Yangon,Membro,Masculino,Esportes e viagem,62.62,5,15655,328755,03/10/19,19:15,Cartão de débito,313.1,4.761904762,15655,7
272-65-1806,A,Yangon,Normal,Feminino,Acessórios eletrônicos,60.88,9,27396,575316,1/15/2019,17:17,Cartão de débito,547.92,4.761904762,27396,4.7
333-73-7901,C,Naypyitaw,Normal,Feminino,Saúde e beleza,54.92,8,21968,461328,3/23/2019,13:24,Cartão de débito,439.36,4.761904762,21968,7.6
777-82-7220,B,Mandalay,Membro,Masculino,Casa e estilo de vida,30.12,8,12048,253008,03/03/19,13:01,Dinheiro,240.96,4.761904762,12048,7.7
280-35-5823,B,Mandalay,Membro,Feminino,Casa e estilo de vida,86.72,1,4336,91056,1/17/2019,18:45,Cartão de débito,86.72,4.761904762,4336,7.9
554-53-8700,C,Naypyitaw,Membro,Masculino,Casa e estilo de vida,56.11,2,5611,117831,02/02/19,10:11,Dinheiro,112.22,4.761904762,5611,6.3
354-25-5821,B,Mandalay,Membro,Feminino,Esportes e viagem,69.12,6,20736,435456,02/08/19,13:03,Dinheiro,414.72,4.761904762,20736,5.6
228-96-1411,C,Naypyitaw,Membro,Feminino,Comida e bebidas,98.7,8,39.48,829.08,03/04/19,20:39,Dinheiro,789.6,4.761904762,39.48,7.6
617-15-4209,C,Naypyitaw,Membro,Masculino,Saúde e beleza,15.37,2,1537,32277,3/16/2019,19:47,Dinheiro,30.74,4.761904762,1537,7.2
132-32-9879,B,Mandalay,Membro,Feminino,Acessórios eletrônicos,93.96,4,18792,394632,03/09/19,18:00,Dinheiro,375.84,4.761904762,18792,9.5
370-41-7321,B,Mandalay,Membro,Masculino,Saúde e beleza,56.69,9,25.5105,535.7205,2/27/2019,17:24,Cartão de crédito,510.21,4.761904762,25.5105,8.4
727-46-3608,B,Mandalay,Membro,Feminino,Comida e bebidas,20.01,9,9.0045,189.0945,02/06/19,15:47,Cartão de débito,180.09,4.761904762,9.0045,4.1
669-54-1719,B,Mandalay,Membro,Masculino,Acessórios eletrônicos,18.93,6,5679,119259,02/10/19,12:45,Cartão de crédito,113.58,4.761904762,5679,8.1
